month,Product_Category,total_revenue
2022-01,Games,97575.98
2022-01,Toys,191847.25
2022-01,"Sports & Outdoors",74945.88
2022-01,"Art & Crafts",35097.18
2022-01,Electronics,143088.62
2022-02,"Sports & Outdoors",73338.49
2022-02,Games,90147.02
2022-02,Toys,210630
2022-02,Electronics,133353.41
2022-02,"Art & Crafts",33882.73
2022-03,Electronics,133784.33
2022-03,Games,89526.55
2022-03,"Art & Crafts",51700.71
2022-03,"Sports & Outdoors",76744.56
2022-03,Toys,237729.04
2022-04,"Sports & Outdoors",103733.18
2022-04,Games,100164.09
2022-04,"Art & Crafts",65344.04
2022-04,Electronics,128606.76
2022-04,Toys,283224.91
2022-05,Toys,299615.55
2022-05,"Art & Crafts",70988.87
2022-05,Games,89197.61
2022-05,Electronics,118107.04
2022-05,"Sports & Outdoors",94460.83
2022-06,Electronics,116003.83
2022-06,"Sports & Outdoors",120866.55
2022-06,Games,102313.72
2022-06,Toys,259740
2022-06,"Art & Crafts",63056.12
2022-07,Toys,146409.04
2022-07,Games,99782.21
2022-07,"Art & Crafts",65651.5
2022-07,"Sports & Outdoors",129568.59
2022-07,Electronics,114622.89
2022-08,"Art & Crafts",57055.23
2022-08,"Sports & Outdoors",89408.49
2022-08,Toys,140612.55
2022-08,Electronics,122930.06
2022-08,Games,79416.4
2022-09,Toys,249961.65
2022-09,"Art & Crafts",68369.89
2022-09,"Sports & Outdoors",78698.61
2022-09,Electronics,106980.79
2022-09,Games,81833.1
2022-10,"Art & Crafts",85597.9
2022-10,Games,104525.39
2022-10,Electronics,113795.65
2022-10,Toys,248597.94
2022-10,"Sports & Outdoors",71357.51
2022-11,Toys,254236.8
2022-11,Electronics,100433.83
2022-11,"Sports & Outdoors",76414.08
2022-11,Games,111619.87
2022-11,"Art & Crafts",118599.57
2022-12,Toys,264721.82
2022-12,"Art & Crafts",191297.14
2022-12,Games,182541.65
2022-12,"Sports & Outdoors",129891.1
2022-12,Electronics,108751.98
2023-01,Toys,219158.94
2023-01,Electronics,102774.81
2023-01,"Art & Crafts",195905.22
2023-01,Games,139809.19
2023-01,"Sports & Outdoors",89548.06
2023-02,"Sports & Outdoors",85848.12
2023-02,Toys,218326.25
2023-02,"Art & Crafts",187713.1
2023-02,Games,131745.03
2023-02,Electronics,98999.69
2023-03,Toys,303199.83
2023-03,"Art & Crafts",205848.13
2023-03,Electronics,101111.66
2023-03,Games,131252.59
2023-03,"Sports & Outdoors",142103.43
2023-04,"Sports & Outdoors",129265.27
2023-04,Games,121196.82
2023-04,"Art & Crafts",230299.15
2023-04,Electronics,89174.16
2023-04,Toys,257755.67
2023-05,"Art & Crafts",226843.87
2023-05,Toys,268375.35
2023-05,Games,108814.29
2023-05,Electronics,83904.19
2023-05,"Sports & Outdoors",137381.79
2023-06,Toys,292148.69
2023-06,"Art & Crafts",202725.66
2023-06,Electronics,84604.34
2023-06,Games,99193.83
2023-06,"Sports & Outdoors",129626.73
2023-07,"Art & Crafts",206862.98
2023-07,Toys,296684.98
2023-07,"Sports & Outdoors",128931.17
2023-07,Games,107272.58
2023-07,Electronics,88597.15
2023-08,Toys,235461.51
2023-08,"Sports & Outdoors",98763.59
2023-08,Games,86757.46
2023-08,"Art & Crafts",155295.63
2023-08,Electronics,84598.88
2023-09,Electronics,72547.18
2023-09,"Art & Crafts",187229.64
2023-09,"Sports & Outdoors",111463.54
2023-09,Toys,214803.23
2023-09,Games,72150.89
