Product_Category,Product_Name,gross_profit
"Art & Crafts","Barrel O' Slime",183326
"Art & Crafts","Kids Makeup Kit",146598
"Art & Crafts","Etch A Sketch",121680
Electronics,Colorbuds,834944
Electronics,"Gamer Headphones",107748
Electronics,"Toy Robot",58745
Games,"Deck Of Cards",252102
Games,"Glass Marbles",187590
Games,Jenga,91378
"Sports & Outdoors","Nerf Gun",132715
"Sports & Outdoors","Dart Gun",126352
"Sports & Outdoors","Mini Ping Pong Set",100812
Toys,"Action Figure",347748
Toys,"Lego Bricks",298685
Toys,"Animal Figures",117267
