month,units_sold,total_revenue
2022-01,38009,542554.91
2022-02,36935,541351.65
2022-03,39981,589485.19
2022-04,47102,681072.98
2022-05,46910,672369.9
2022-06,47178,661980.22
2022-07,46177,556034.23
2022-08,39927,489422.73
2022-09,42196,585844.04
2022-10,47861,623874.39
2022-11,51185,661304.15
2022-12,66031,877203.69
2023-01,56478,747196.22
2023-02,54581,722632.19
2023-03,69336,883515.64
2023-04,65593,827691.07
2023-05,63851,825319.49
2023-06,64275,808299.25
2023-07,63614,828348.86
2023-08,51193,660877.07
2023-09,52152,658194.48
