month,profit_gross_margin,prev_month_profit_gross_margin,mom_change
2022-01,30.8,NULL,NULL
2022-02,29.9,30.8,-2.92
2022-03,29.52,29.9,-1.27
2022-04,27.91,29.52,-5.45
2022-05,27.8,27.91,-0.39
2022-06,28.67,27.8,3.13
2022-07,31.82,28.67,10.99
2022-08,32.47,31.82,2.04
2022-09,28.4,32.47,-12.53
2022-10,28.66,28.4,0.92
2022-11,29.17,28.66,1.78
2022-12,28.05,29.17,-3.84
2023-01,27.45,28.05,-2.14
2023-02,26.2,27.45,-4.55
2023-03,26.25,26.2,0.19
2023-04,25.99,26.25,-0.99
2023-05,25.49,25.99,-1.92
2023-06,25.64,25.49,0.59
2023-07,25.33,25.64,-1.21
2023-08,26.49,25.33,4.58
2023-09,27.42,26.49,3.51
